instancias,n,v,backtracking,programacion_dinamica
1,1,100,0.000636,0.005627
2,2,100,0.001112,0.014748
3,3,100,0.001653,0.023928
4,4,100,0.002952,0.044563
5,5,100,0.005215,0.053195
6,6,100,0.003948,0.062017
7,7,100,0.00423,0.074932
8,8,100,0.0047,0.091858
9,9,100,0.00627,0.127041
10,10,100,0.006117,0.129271
11,11,100,0.006929,0.174804
12,12,100,0.011795,0.173796
13,13,100,0.008692,0.205439
14,14,100,0.00938,0.223367
15,15,100,0.010234,0.250727
16,16,100,0.011172,0.279561
17,17,100,0.012122,0.321421
18,18,100,0.013065,0.343803
19,19,100,0.014097,0.444774
20,20,100,0.024119,0.410862
21,21,100,0.018548,0.448143
22,22,100,0.019792,0.490299
23,23,100,0.01806,0.527489
24,24,100,0.019254,0.579437
25,25,100,0.020269,0.635574
26,26,100,0.021577,0.70608
27,27,100,0.022723,0.724031
28,28,100,0.023946,0.757724
29,29,100,0.026074,0.921789
30,30,100,0.030577,0.820253
31,31,100,0.026055,0.852815
32,32,100,0.038439,0.925342
33,33,100,0.029001,1.04234
34,34,100,0.030349,1.09828
35,35,100,0.034107,1.16754
36,36,100,0.03306,1.18175
37,37,100,0.036855,1.25823
38,38,100,0.035781,1.25708
39,39,100,0.03718,1.35224
40,40,100,0.038434,1.46925
41,41,100,0.056365,1.5572
42,42,100,0.041535,1.52024
43,43,100,0.043151,1.66932
44,44,100,0.044481,1.7759
45,45,100,0.050364,1.72781
46,46,100,0.047749,1.84265
47,47,100,0.049284,1.88596
48,48,100,0.050837,1.98891
49,49,100,0.073956,2.10847
50,50,100,0.076395,2.34772
